BHF;EBHF;EVA;EPA;Vbd
Airasca;8300514;8300644;8300055;
Aire Sur L Adour;8767104;0;0;
Airole;8367438;8300358;0;
Airolo;8505201;8505201;8500137;
Airuno;8378281;8301159;0;
Aiseau;8874583;8800478;0;
Aiserey;8776890;8702468;0;
Aistaig;8000460;0;0;VVR
Aistaig Bahnhof, Obe;546575;570038;0;
Aisthofen;8102508;8100609;0;
Aisthofen Ortsmitte;8171025;8171025;0;
Aitek;2750813;2700813;0;
Aiton-Bourgneuf;8770322;8702387;0;
Aitrang;8000461;0;0;
Aiud;5331695;5300112;0;
Aix En Provence;8775140;0;0;
Aix-en-Provence;8782433;8700157;8700337;
Aix-en-Provence TGV;8754980;8704980;8700912;
Aix-en-Prov. TGV;8731901;0;0;
Aixe sur Vienne;8788466;8702633;0;
Aix Les Bains Le;8774113;0;0;
Aix-les-Bains-le-Rev;8790345;8700048;8700059;
Ajak;5560968;5500166;0;
Ajdirlja;2089672;2001881;2040383;
Ajgirjal;2722536;2700601;0;
Ajiniyaz;2961016;2900096;0;
Ajka;5503996;5500060;5503996;
Ajka-Gyartelep;5568968;5500167;0;
Ajke;2750699;2700699;0;
Ajna-bulak;2790456;2700559;0;
Ajrin;2759088;2700355;0;
Ajsa;2731703;2700011;2708923;
Ajsari;2787126;2700309;0;
Ajteke Bi;2750698;2700698;0;
Ajtos;5250047;5200047;0;
Akarp;7404687;0;0;
Akbalik;2784152;2700283;2700766;
Ak-Bulat;2773862;2700311;0;
Akdala;2728936;2700582;0;
Aken(Elbe);8011006;8011006;0;
Akhtuba;2045720;2004619;0;
Akimowka;2224080;2200040;2210675;
Akir-Tjube;2787703;2700016;2700847;
Akjajdak;2767088;2700356;0;
Akkemir;2735462;2700312;0;
Ak-Kistau;2755703;2700014;2704793;
Akkrum;8400049;8400049;0;
Akkudik 1;2750697;2700697;0;
Ak-Kul;2763703;2700015;2708840;
Akkum;2724503;2700017;2704942;
Akmaya;2789568;2700439;0;
Aknan;2752936;2700585;0;
Aksakowo;2032503;2000274;2024680;
Aksaraiskaia;2061750;2000275;2020925;
Aksaraiskaia;2766200;0;0;
Aksaraiskaia(Gr);2061752;2061840;0;
Aksaraiskaia(Gr);2722001;0;0;
Aksarikha;2041792;2003768;0;
Aksengir;2785736;2700599;0;
Aksenikha;2033144;2002957;0;
Aksenowo;2055984;2001795;2024656;
Akshagil;2775088;2700357;0;
Akshokat;2744936;2700584;0;
Aksu 1 (Ermak Gruz.);2726862;2700663;0;
Aksu 2 (Ermak);2798062;2700662;0;
Aksu(Altintau);2795888;2700320;0;
Aksuat;2741656;2700543;0;
Aktas;2750886;2700886;0;
Aktasti;2772688;2700327;0;
Aktautas;2799256;2700570;0;
Aktobe;2766790;0;0;
Aktobe(KAZ);2704600;2700018;2704600;
Ak Tobe(UZ);2952216;2900085;0;
Aktogay;2770800;2700019;2700670;
Ak-Tschulak;2771703;2700013;2700848;
Akur;2049712;2003669;0;
Ak-uzyak;2739336;2700613;0;
Ala;8302049;8300350;8300801;
Ala-Aygyr;2751686;2700293;0;
Alabaz;2727462;2700315;0;
Alacant-Terminal;7125960;7100051;7160911;
Alagimajor;5576968;5500168;0;
Alalampi;2045872;2003819;0;
Alanap;2024184;2002746;0;
Alanno;8354078;8300780;0;
Alano-Fener-Vald.;8302566;0;0;
Alano-Fener-Valdobbi;8388878;8300131;8300290;
Alanus Hochschule, A;442976;442976;0;
Alap;5584968;5500169;0;
Alar del Rey-San Qui;7188975;7100392;7114112;
Alashankou;3342248;3300018;0;
Alashide;2780503;2700020;2700777;
Alassio;8304515;8300133;8300301;
Alatir;2091936;2002494;0;
Alattu;2053872;2003820;0;
Alavus;1036000;1000002;0;
Alba;8300825;8300653;0;
Alba Adriatica-Neret;8366798;8300557;8300481;
Alba A.-Ner.-Con.;8307800;0;0;
Albacete;7160600;7100135;7160600;
Albacina;8307207;8300187;8300402;
Albairate;8397555;8397555;0;
Alba Iulia;5323038;5300096;5323038;
Albano di Lucania;8327825;8302380;0;
Albano Laziale;8308704;8302449;0;
Albano S. Alessandro;8347081;8301165;0;
Albanova;8329481;8301143;0;
Albaredo;8302538;8300699;0;
Alba(RUS);2072846;2005682;0;
Albate-Camerlata;8301310;8300950;8300101;
Albate Trecallo;8374201;8301108;0;
Albbruck;8000463;8000463;0;WTV
Albenga;8304516;8300132;8300300;
Albens;8741266;8702637;0;
Alberese;8354201;8301056;8300802;
Albergaria dos Doze;9487547;9400097;0;
Albersdorf;8007661;8000464;0;472
Albersweiler(Pfalz);8000466;8000466;0;VRN
Albert;8731307;0;0;
Albert(Amiens);8798457;8700599;8700881;
Albertfalva;5598648;5500341;0;
Albertirsa;5592968;5500170;0;
Albertslund;8600621;0;0;
Albertslund st;8650039;8600039;0;
Albertville;8774164;8700128;8700244;
Albesti Tirnava;5381190;5331190;0;
Albeuve;8583105;8504072;0;
Albgaubad, Ettlingen;723571;723571;0;
Albgaubad, Ettlingen;723572;723572;0;
Albias;8751257;8700603;0;
Albig;8000468;8000468;0;RNN
Albigny-Neuville;8747025;8702243;0;
Albi Madeleine;8749266;8702638;8700200;
Albinia;8308003;8301057;8300803;
Albisola;8304529;8301107;0;
Albi Ville;8761500;8704917;8700205;
Albizzate-Solb.A.;8301209;0;0;
Albizzate-Solbiate A;8350874;8300874;0;
Albonese;8383801;8301129;0;
Albrechtice u C.Tes.;5450762;5400389;0;
Albrechtshof;8011008;8080040;0;VBB
Albshausen;8000471;8000471;0;RMV
Albsheim(Eis);8000470;8070096;0;VRN
Albstadt-Ebingen;8000473;8000473;0;NAL
Albstadt-EbingenWest;8000472;8079089;0;NAL
Albstadt-Laufen Ort;8000474;8000474;0;NAL
Albstadt-Lautlingen;8000475;8000475;0;NAL
Albufeira;9478063;9400016;0;
Albuzzano;8390201;8301110;0;
Alcacovas;9440347;9400101;0;
Alcaide;9448347;9400102;0;
Alcains;9453140;9400104;0;
Alcala de Henares;7170103;7100393;7170103;
Alcamo Diramaz.;8312150;0;0;
Alcamo Diramazione;8370638;8300299;8300703;
Alcantara;8398201;8301111;0;
Alcantarilha;9482601;9400017;0;
Alcaria;9488347;9400107;0;
Alcazar de San Juan;7197160;7100050;7160400;
Aldeia;9496347;9400108;0;
Aldekerk;8000477;8000477;8047477;VRR
Aldenhoven(Gem);8040080;0;0;
Aldingen(b Spaich);8000481;8000481;0;TUT
