BHF;EBHF;EVA;EPA;Vbd
Malesco;8384575;8302807;0;
Malesherbes;8768441;8703892;0;
Malesov;5496770;5401909;0;
Male Svatonovice;5479120;5400270;0;
Male Zernoseky;5472770;5401906;0;
Maliga;2022991;2000926;2004348;
Malijai;8775834;8703893;0;
Malin;2230991;2200396;2200093;
Malischewo;2038991;2000927;2004568;
Malix, Dorf;8590399;8509793;0;
Malix, Kreuz;8528894;8574497;0;
Malix, Rezia;8570822;8581028;0;
Malkinia;5103830;5100087;5100076;
Malkov;5425570;5401910;0;
Malkovichi;2199416;2100083;0;
Mallaig;7088310;7001463;7000435;
Mallemoisson;8783834;8703894;0;
Malleray-Bevilard;8530321;8500102;0;
Mallersdorf;8003830;8003830;0;
Malles/Mals;8362035;8362035;0;
Malling(F);8734377;8701481;0;
Malling st;8622817;8601549;0;
Mallnitz-Obervel.;8102121;0;0;
Mallnitz-Obervellach;8150093;8100093;8100478;
Mallow;6088606;0;0;
Malmback;7402605;0;0;
Malmbäck station;7447939;7400424;0;
Malmerice;5433570;5401911;0;
Malmi;1057782;1000187;0;
Malmö Central;7428136;7400004;7400003;
Malmoe C;7402611;0;0;
Malmö Hyllie station;7450977;7400976;0;
Malmö Södervärn;7450872;7400872;0;
Malmö Syd Svaagertor;7427920;7400809;0;
Malmo Syd/Svagert;7402686;0;0;
Malmö Triangeln stat;7450978;7400977;0;
Malmparken;8600756;0;0;
Malmparken st;8651550;8601550;0;
Malmsheim;8003831;8003831;0;VVS
Malmsheim Calwer Str;556200;556200;0;
Malnas;5390191;5340191;0;
Malnas Bai;5350256;5300256;0;
Maloarchangelsk;2046991;2000928;2000232;
Malogoszcz;5136186;5102280;0;
Maloja, Cad'Mate;8522720;8574961;0;
Maloja, Capolago;8574574;8574960;0;
Maloja, posta;8509794;0;0;
Maloja, Posta;8548793;8509794;0;
Malojaroslawez;2054991;2000929;2000336;
Malokovali;2084984;2002714;0;
Malomice;5168106;5102184;0;
Malonice;5441570;5401912;0;
Malorito;2113260;0;0;
Malo Selo;5250599;5200599;0;
Malovice u Netolic;5449570;5401913;0;
Malovidy;5457570;5401914;0;
Malowice Wolowskie;5190586;5102366;0;
Malsch;8003832;8003832;0;KVV
Malsch Bahnhof (Indu;8071187;8071187;0;
Malsch (Kreis Karlsr;722047;722047;0;
Malsch Süd;8003833;8003833;0;KVV
Malsfeld;8000243;8000243;8034584;NVV
Malsfeld-Beiseförth;8000859;8000859;8034859;NVV
Malsice;5465570;5401915;0;
Malter;8059558;8012298;0;
Malters;8556793;8508218;0;
Maltignano;8307555;8301704;0;
Malu;5371695;5371695;0;
Malu Alb;5361585;5361585;0;
Malu Mare Hm.;5350257;5300257;0;
Malveira;9429881;9400051;0;
Maly Beranov;5473570;5401916;0;
Maly Cepcin;5681570;5601917;0;
Maly Rapotin;5497570;5401919;0;
Maly Ujezd;5434370;5401921;0;
Mamalyga;2236730;0;0;
Mamer;8200516;8270680;0;
Mamer Lycee;8200514;8276932;0;
Mamirolle;8771851;8703896;0;
Mamliutka;2086991;2000933;2040532;
Mammendorf;8054204;8004204;0;
Mammendorf(MVV);8004204;0;0;MVV
Mammern(Bodensee);8526161;8506137;0;
Mammingerschwaigen A;541393;541393;0;
Mammingerschwaigen O;541390;541390;0;
Mamonovo;2010270;0;0;
Mamontovo;2061144;2002911;0;
Manadir;2723791;2700160;2708964;
Manage;8882701;8800121;0;
Manarade;5381463;5331463;0;
Manarola;8304735;8301658;0;
Mana(RUS);2094991;2000934;2038242;
Manasia;5370328;5370328;0;
Mana(SK);5642370;5601922;0;
Mana(SK) zast.;5625059;5603716;0;
Manastur;5387406;5300460;0;
Manchester;7004380;0;0;
Manchester Air;7029610;0;0;
Manchester Airport;7035290;7002677;7000510;
Manchester Oxford;7029660;0;0;
Manchester Oxford Ro;7044272;7001527;7000401;
Manchester Picc;7029680;0;0;
Manchester Piccadill;7045072;7001537;7000046;
Manchester Vict;7029700;0;0;
Manchester Victoria;7051584;7001584;7000278;
Mandalina;7824534;7800379;0;
Mandatoriccio-C.;8311817;0;0;
Mandatoriccio-Campan;8381889;8301709;0;
Mandela-Sambuci;8351767;8301767;0;
Mandelieu La Napo;8775759;0;0;
Mandelieu La Napoule;8799177;8701499;0;
Mandello del Lar.;8301415;0;0;
Mandello del Lario;8351683;8301683;0;
Mandern;8003836;8003836;8034836;NVV
Mandling;8101475;0;0;
Mandling/Enns;8182470;8101202;8100628;
Mandling/Enns Bahnho;8174001;8174001;0;
Mandok;5532648;5500804;0;
Mandschuria(Gr);2094711;0;0;
Mandschuria(Gr);3394700;3394700;0;
Manduel-Redessan;8735977;8701501;0;
Manerbio;8346689;8301665;0;
Mane Village;8720714;8703897;0;
Manewitschi;2242870;2200077;2218205;
Manfredonia;8311054;8302576;0;
Mangalia;5381183;5300060;5381183;
Mangualde;9448009;9400002;9400536;
Mangut;2039791;2000937;2030282;
Mangyshlak;2766330;2700297;0;
Maniago;8303084;8300727;8300234;
Manisa;7550050;7500050;7503677;
Mankent;2747791;2700161;2700872;
Mankiskiai;2442727;2400213;0;
Mankovice;5450370;5401923;0;
Mankowice;5105677;5102300;0;
Manndorf;8003839;8003839;0;VGN
Männedorf;8585521;8503106;0;
Mannenbach-Salenstei;8597361;8506134;0;
Mannheim Abendakad;8007460;0;0;RNV
Mannheim ARENA/Maim.;8003841;8003841;0;VRN
Mannheim-Friedrich.S;8003842;8003842;0;VRN
Mannheim Handelshaf;8006508;8006508;0;VRN
Mannheim Hbf;8000244;8000244;8068585;VRN
Mannheim Hbf (Busbah;8065505;8070044;0;
Mannheim Hbf RNV;8007449;0;0;RNV
Mannheim HBF RNV;8007578;0;0;RNV
Mannheim-Käfertal;8003843;8003843;0;VRN
Mannheim-Käfert RNV;8007450;0;0;RNV
Mannheim Kf Pl Frd;8007451;0;0;515
Mannheim-Luzenberg;8006509;8006509;0;VRN
Mannheim-Neckarau;8003844;8003844;0;VRN
Mannheim-Neckarstadt;8006511;8006511;0;VRN
Mannheim-Neuostheim;8007461;0;0;515
Mannheim-Rheinau;8003845;8003845;0;VRN
Mannheim-Seckenheim;8003847;8003847;0;VRN
Mannheim-Seckenh Ort;8007454;0;0;515
Mannheim-Waldhof;8003848;8003848;8001146;VRN
Mannheim-Wallstadt;8007464;0;0;515
Mannswoerth;8102922;0;0;
Mannswörth;8172630;8101871;0;
Mannweiler;8003849;0;0;WVV
Mannweiler, Mannweil;430327;405637;0;
Manole;5250185;5200185;0;
Manolovo;5250591;5200591;0;
Manoppello;8335838;8300901;0;
Manor Park;7068830;7001524;0;
Manosque Greoux L;8775132;0;0;
Manosque Gréoux les;8736714;8703899;8700338;
Manresa;7178600;7100209;7100785;
Mansfield Wdhs;7017280;0;0;
Mansfield Woodhouse;7052762;7002762;0;
Mantel, Bruchsal;421905;421905;0;
Manternach;8200328;8270690;0;
Mantes La Jolie;8738150;8703900;8700764;
Mantes Station;8752714;8703901;0;
Mantgum;8400427;8400427;0;
Mantorp Station;7420347;7400694;0;
Mantova;8302336;8300541;8300299;
Mantova Frassine;8373089;8301698;0;
Mantsjurija;3344759;3300008;3300350;
Manturowo;2063791;2000938;2010254;
Mäntyharju;1040800;1000062;0;
Manzanares;7150100;7100145;7150100;
Manzano;8322689;8301662;0;
Manzat;8760714;8703902;0;
Manzell Bahnhof, Fri;491174;491174;0;
Manziana-Canale Mont;8349169;8301795;0;
Manzing-Prambach;8194550;8101254;0;
Maradikowskij;2043984;2001843;2060473;
Maraldi;2771791;2700162;2708994;
Marano Ticino;8393889;8301661;0;
Marano Vicentino;8343838;8300695;0;
Maranville la Poste;8742296;8705154;0;
Marasesti;5350691;5300061;5350691;
Maratea;8311723;8300317;8300735;
Marausa;8321691;8302577;8300828;
Marbach Bahnhof, Gom;751168;751168;0;
Marbach(b Münsing.);8003861;0;0;NAL
Marbach(b Münsingen);8079014;8070481;0;
Marbache;8725665;8701580;0;
Marbacher Straße, Ki;557148;557147;0;
Marbach Gasthaus Lin;500724;500724;0;
Marbach-Grafeneck;8003851;8003851;0;NAL
Marbach im Murtal;8139912;8101460;0;
Marbach Kalkhütte, V;500723;500723;0;
Marbach Kirche, Vill;501176;501176;0;
Marbach(Neckar);8003853;8003853;0;VVS
Marbach Ost(VS);8003857;8003857;0;VSB
Marbach West, Villin;361000;361000;0;
Marbach West(VS);8003854;8003854;0;VSB
Marbeck-Heiden;8003855;8003855;0;VGM
Marbehan;8866175;8800156;8800661;
Marburg(Lahn);8000337;8000337;8035587;RMV
Marburg Süd;8003856;8003856;0;RMV
Marburg (TGem);8040440;0;0;
Marcaltö;5548648;5500806;0;
Marcaria;8345889;8301655;0;
Marcelcave;8767177;8701495;0;
Marcel en Dombes;8768714;8703903;0;
Marcellaz Hauteville;8776714;8703904;0;
Marcellinara;8328601;8301033;8300684;
Marcellina-Verbicaro;8325169;8301792;0;
Marcenat;8784714;8703905;0;
Marche;8792714;8703906;0;
Marche-En-Famenne;8864410;0;0;
Marche-en-Famenne;8873473;8800281;0;
Marchegg;8102899;8100466;8100980;
Marchegg Bahnhof (Vo;8178222;8178222;0;
Marchegg(Gr);5610006;0;0;
Marchegg(Gr);8102900;8102900;0;
Marchelepot;8797665;8701589;0;
Marche-les-Dames;8850473;8800473;0;
Marche-Les-Dames;8863461;0;0;
Marche-Lez-Ecauss;8883220;0;0;
Marche-lez-Ecaussinn;8899953;8800414;0;
Marchena;7101005;7100146;7101005;
Marcheprime;8780865;8701577;0;
Marchevo;5250178;5200178;0;
Marchezais Broué;8721514;8703907;0;
Marche Zone;8863016;0;0;
Marchienne-au-Pon;8871100;0;0;
Marchienne au Pont;8884593;8800122;0;
Marchienne-Zone;8871852;8800485;0;
Marchtrenk;8101079;8101204;8100137;
Marcianise;8309301;8300815;8300525;
Marcigny-St-Martin;8756499;8704992;0;
Marcilly 21;8795832;8705209;0;
Marcinkow;5161962;5104453;0;
Marcinkowo;5145706;5102201;5100871;
Marciszow;5105560;5100078;5100197;
Marco de Canaveses;9450387;9400387;0;
Marconi;8361969;8301757;0;
Marconia;8377889;8301659;0;
Marczow;5192106;5102187;0;
Marechiaro;8329691;8302578;0;
Marefy;5458370;5401924;5433515;
Mareil sur Mauldre;8729514;8703908;0;
Marein-St.Lorenz.;8103153;0;0;
Marein-St.Lorenzen;8185750;8101243;8100250;
Marek;5250573;5200573;0;
Maresquel;8751265;8701603;0;
Mareuil sur Lay;8799122;8702442;0;
Mareuil-sur-Ourcq;8782465;8701597;0;
Marevaya;2066584;2002781;0;
Marganez;2287791;2200398;2210725;
Margate;7050180;7001496;0;
Margaux;8737514;8703909;0;
Margecany;5613490;5600137;5613490;
Margecany zast.;5666370;5601925;0;
Margertshausen;8003858;0;0;AVV
Margertshausen Bahnh;756255;780940;0;
Margilan;2995791;2900061;2900920;
Margina;5387463;5300258;0;
Margival(Laon);8721665;8701530;0;
Margucsek;2090504;2002684;0;
Maria;7402588;0;0;
Maria-Aalter;8891132;8800301;0;
Maria Anzbach;8101022;8101197;0;
Mariaberg;8007238;0;0;470
Mariabesnyö;5556648;5500807;0;
Maria de Huerva (APT;7167004;7167004;0;
Maria Elend im Rosen;8140302;8100467;0;
Maria Ellend an der;8137982;8100537;0;
Maria Ellend/D.;8102928;0;0;
Maria Ellend/Donau B;8177108;8177108;0;
Maria Enzersdorf Süd;8128150;8101216;0;
Mariahof-St. Lam.;8103620;0;0;
Mariahof-St.Lambrech;8193750;8101244;8100413;
Maria Lanzendorf;8103035;8101224;0;
Mariannelund;7402643;0;0;
Marianowka;2024591;2000939;2044686;
Marianske Lazne;5474405;5400009;5474405;
Marianske Lazne mest;5474370;5401926;0;
Mariapocs;5572648;5500809;0;
Maria Rain;8003859;8003859;8087620;
Maria Rain;8103843;0;0;
Maria Rain in Kärnte;8164302;8100470;0;
Maria Saal;8103639;8101239;0;
Mariaudvar;5580648;5500810;0;
Maria Veen;8003860;8003860;0;VGM
Mariazell;8150471;8100471;8100128;
Maribo;8602619;0;0;
Maribor;7943400;7900006;7900111;
Maribor Avtobusna po;7989006;7989006;0;
Maribor Sokolska;7969767;7900111;0;
Maribor Studenci;7948967;7900148;0;
Maribor Tabor;7987447;7900233;0;
Maribor Tezno;7995447;7900234;0;
Maribo st;8651559;8601559;0;
Marieholm Station;7452649;7402649;0;
Mariembourg;8875002;8800132;0;
Marienberg;8400428;0;0;
Marienberg(NL);8474561;8400428;0;
Marienberg(Sachs);8012301;8012301;0;
Marienborg;7662006;7600413;0;
Marienborn;8012302;8012302;8039777;MAR
Marienhafe;8003866;8003866;8026592;
Marienheide;8003869;8070483;0;VRS
Marienheide(Gem);8040131;0;0;
Marienlyst st;8651563;8601563;0;
Marienmünster(Gem);8040272;0;0;
Marienthal(F);8737873;8700392;0;
Mariero;7673126;7600353;0;
Mariestad station;7450339;7400339;0;
Marignac St Beat;8745514;8703910;8700553;
Marignier;8774634;8700492;8700490;
Marigny;8583843;8530166;0;
Marigny Deux Sevres;8753514;8703911;0;
Mariinsk;2032591;2000941;2038060;
Marijampole;2412400;2400265;0;
Marikostino;5250191;5200191;0;
Marimont-les-Benestr;8777665;8701537;0;
Marina di Cerveteri;8331489;8301673;0;
Marina di Maratea;8333401;8301093;0;
Marina di S. Lorenzo;8390689;8301720;0;
Marinella;8385969;8301760;0;
Marin-Epagnier;8596793;8504481;0;
Marinha Grande;9486987;9400389;0;
Marino del Tronto-Fo;8371569;8301778;0;
Marino Laziale;8308701;8302736;0;
Marino Pole;5250190;5200190;0;
Marino Tronto-Fol;8307556;0;0;
Mariselu;5390945;5340945;0;
Maritui;2055969;2005958;0;
Mariupol;2248470;2200399;2214400;
Marjanovka;2270688;2201157;0;
Markaryd;7402654;7400117;0;
Markdorf(Baden);8003871;8003871;8088588;BOD
Marke;8012305;8012305;0;
Markelfingen;8003872;8003872;0;VHB
Markelfingen Radolfz;501518;501518;0;
Markelsheim;8003873;8003873;0;VRN
Markersdorf an der P;8190470;8101203;0;
Markersdorf/Piel.;8101038;0;0;
Market Harborou;7019090;0;0;
Market Harborough;7051498;7001498;7000277;
Market Rasen;7063180;7001541;7000047;
Markgröningen;8003874;0;0;VVS
Markgröningen Mitte/;573775;561334;0;
Markkleeberg;8012308;8012308;0;MDV
Markkleeberg-Gaschwi;8011598;8011598;0;MDV
Markkleeberg-Großst;8010228;8010228;0;MDV
Markkleeberg Mitte;8012309;8012309;0;
Markkleeberg Nord;8012304;8012304;0;MDV
Marko;5588648;5500811;0;
Markoldendorf;8007263;0;0;471
Markoldendorf Bevers;355413;355413;0;
Markow(RUS);2072591;2000944;2010067;
Markranstädt;8012311;8012311;0;MDV
Marksuhl;8012312;8012312;0;
Markt, Aldenhoven;585977;585977;0;
Markt, Apen;635510;602718;0;
Markt Berolzheim;8003875;0;0;VGN
Markt Bibart;8003876;8003876;8091590;VVM
Marktbreit;8003881;8003881;0;VGN
Markt, Brüggen (Nied;651137;651137;0;
Markt, Drolshagen;444670;444670;0;
Markt, Ennigerloh;901807;901807;0;
Markt Erlbach;8003878;8003878;0;VGN
Markt, Grömitz;639590;699695;0;
Marktheidenfeld;8003882;0;0;
Markt, Herscheid;878632;878632;0;
Markt Indersdorf;8003072;8003072;0;MVV
Markt, Isselburg;573447;587998;0;
Markt, Kalkar;587751;587751;0;
Markt, Kamp-Lintfort;235927;250251;0;
Marktl;8003883;8003883;0;
Marktl;8101332;0;0;
Markt, Leopoldshöhe;924937;924937;0;
Marktleuthen;8003884;8003884;8095884;
Marktl/Traisen;8133182;8100576;0;
Markt, Mügeln;959746;959746;0;
Marktoberdorf;8003885;8003885;8087986;
Marktoberdorf Schule;8003877;8003877;0;
Marktoffingen;8003886;0;0;VGN
Markt Paternion;8102132;0;0;
Markt Piesting Bahnh;8173043;8173043;0;
Markt Piesting Harzw;8173071;8173071;0;
Marktplatz A, Fischa;893855;870735;0;
Marktplatz, Aidenbac;551375;544195;0;
Marktplatz, Altmanns;783375;788009;0;
Marktplatz, Bärnau;544878;544878;0;
Marktplatz, Bischofs;465350;465350;0;
Marktplatz, Dachsbac;477055;460536;0;
Marktplatz, Ebrach;461855;464420;0;
Marktplatz, Isny im;483455;490157;0;
Marktplatz, Isny im;846587;846587;0;
Marktplatz, Königste;546095;545850;0;
Marktplatz, Magstadt;548975;557564;0;
Marktplatz, Mannheim;508160;508160;0;
Marktplatz, Medebach;994015;905905;0;
Marktplatz, Moosbach;571695;545177;0;
Marktplatz, Neustadt;624495;679182;0;
Marktplatz, Oerlingh;925873;925873;0;
Marktplatz, Ortenbur;541902;541902;0;
Marktplatz, Rattelsd;466095;464275;0;
Marktplatz, Schönber;535695;542417;0;
Marktplatz, Schopflo;643695;680699;0;
Marktplatz, Sulzbach;561113;561113;0;
Marktplatz, Tirschen;544851;544851;0;
Marktplatz, Tittling;552575;542319;0;
Marktplatz, Untergri;584575;543151;0;
Marktplatz, Vohenstr;544814;544814;0;
Marktredwitz;8000247;8000247;8095591;
Markt, Rüthen;902681;902681;0;
Markt Sachsenburg;8103863;8101241;0;
Marktschorgast;8003887;8003887;8095887;
Markt Schwaben;8003879;8003879;0;MVV
Marktstätte/Bahnhof,;504134;504134;0;
Marktstraße, Neuenha;597294;597294;0;
Markt, Templin;739443;739443;0;
Markt, Uedem;567047;587857;0;
Markt, Vettweiß;585175;585175;0;
Markt Wald;8003880;0;0;AVV
Markt, Waldfeucht;585605;585605;0;
Markt, Warstein;945215;909946;8059581;
Markt, Wiesmoor;606917;606917;0;
Markushof, Bad Belli;499551;499551;0;
Markusica-Antin;7871505;7871503;0;
Markusovce;5682370;5601927;0;
Markvartice;5490370;5401928;0;
Marlengo/Marling;8387972;8337972;0;
Marles;7956967;7900149;0;
Marles en Brie;8769514;8703913;0;
Marle-sur-Serre;8754465;8701544;0;
Marl(Gem);8040203;0;0;
Marl-Hamm;8003890;8003890;0;VRR
Marlieux Chatillon;8777514;8703914;0;
Marlishausen;8012314;8012314;0;
Marl Mitte;8003888;8003888;0;VRR
Marloffsteiner Str.,;460723;460723;0;
Marloie;8864345;8800154;8800643;
Marl-Sinsen;8003891;8003891;8001214;VRR
Marly, Cite;8558455;8504862;0;
Marly, Gerine;8577745;8577743;0;
Marly, Grand Pre;8577742;8577742;0;
Marmagne;8793514;8703916;0;
Marmagne sous Creuso;8722314;8703917;0;
Marmande;8758654;8703918;8700621;
Marma station;7450966;7400964;0;
Marmore;8377969;8301759;0;
Marna;5395294;5345294;0;
Marnardal;7602178;7600340;7602178;
Marnaval Eglise;8742843;8705028;0;
Marnay sur Marne;8725496;8705142;0;
Marnay-sur-Seine;8759265;8701604;0;
Marne-la-Vallee;8711184;0;0;
Marne la Vallée-Ches;8736011;8704948;8700635;
Marne la Vallée-Ches;8770895;8705055;0;
Marne la Vallée Euro;8727643;8798948;0;
Maroc;9309301;0;0;
Maroeuil;8764065;8701565;0;
Maroggia-Melano;8505303;8505303;8500383;
Marok;5596648;5500812;0;
Marokko;9309300;0;0;
Marolles en Hurepoix;8730314;8703919;0;
Maromme;8738314;8703920;0;
Marone;8369559;8302819;0;
Marotta-Mondolfo;8307107;8301728;0;
Marquardt;8012315;8012315;0;VBB
Marquartstein;8003895;0;0;
Marquillies;8765665;8701585;0;
Marquise Rinxent;8734465;8701591;8700842;
Marquixanes;8755314;8705314;0;
Marradi-Palazzuolo s;8393169;8301751;0;
Marrubiu-Terralba-Ar;8339569;8301774;0;
Marsac Creuse;8746314;8703921;0;
Marsac Dordogne;8754314;8703922;0;
Marsac en Livradois;8762314;8703923;0;
Marsala;8312107;8300318;8300736;
Marsberg;8003896;8003896;8034593;VRL
Marsberg(Gem);8040333;0;0;
Marseillan Plage;8743265;8701602;8700580;
Marseille-Blancarde;8751473;8700464;8700188;
Marseille-en-Beauvai;8790465;8701598;0;
Marseille St Char;8775100;0;0;
Marseille-St-Charles;8752033;8700074;8700089;
Marssac sur Tarn;8770314;8703924;0;
Marsta;7402808;0;0;
Märsta station;7443779;7400243;7400027;
Märstetten;8566393;8506104;0;
Marstetten-Aitrach;8003897;8003897;8001334;BOD
Marstetten Bahnhof,;490179;490179;0;
Marsyati;2050040;2005069;0;
Martel;8778314;8703925;0;
Martel - Maison de R;8756943;8706822;0;
Martely;5525448;5500813;0;
Martensdorf;8012316;8012316;0;
Martensdorf B105;8087033;8087033;0;
Martenshoek;8400430;8400430;0;
Martfü;5533448;5500814;0;
Martfue;5518093;0;0;
Marthalen;8533593;8506048;0;
Martiany;5156186;5102332;0;
Martignat;8786314;8703926;0;
Martigne Ferchaud;8723114;8703928;0;
Martigny;8501500;8501500;8500150;
Martigny-Bourg;8549593;8501572;0;
Martigny-Croix;8557593;8501573;0;
Martigny-Expo;8594466;8594466;0;
Martigny, gare;8541593;8501292;0;
Martigny Les Bain;8714429;0;0;
Martigny-les-Bains;8769665;8701536;8700132;
Martigny-les-Gerbonv;8785665;8701538;0;
Martigny, Place de R;8582661;8582639;0;
Martigny, Portes du;8547352;8570997;0;
Martigues;8749665;8701583;8700181;
Martijanec;7832534;7800381;0;
Martin;5613013;0;0;
Martina, Cunfin;8509795;0;0;
Martina, cunfin;8565593;8509795;0;
Martina cunfin, Schw;313992;313992;0;
Martin d'Oney;8747114;8703931;0;
Martineves u Libocho;5427170;5401931;0;
Martinganca-Maceira;9437881;9400052;0;
Martinice u Vel.Mezi;5435170;5401932;0;
Martinice v Krk.;5456930;0;0;
Martinice v Krkonosi;5450138;5400138;5456930;
Martinlaakso;1089782;1000191;0;
Martinlamitz;8003898;8003898;8001335;
Martinova;5643170;5601934;0;
Martinovskaya;2238688;2201153;0;
Martinroda;8012317;8012317;0;
Martin(SK);5621608;5601929;5613013;
Martinstein;8003899;8003899;0;RNN
Martinszell(Allgäu);8003901;8003901;8084901;
Martonos;7223106;0;0;
Martonvasar;5541448;5500815;0;
Martres Tolosane;8767977;8701505;0;
Martuk;2796591;2700163;2704940;
Marujal;9423787;9400391;0;
Marvejols;8755114;8703932;8700401;
Marvejols Pl Henri I;8757270;8707134;0;
Marvila;9431787;9400392;0;
Marville;8758377;8701484;0;
Märwil;8574393;8506184;0;
Marxgrün;8003903;8003903;8001286;
Marxzell;8007009;8007009;0;406
Maryanovka;2235008;2201602;0;
Marzabotto;8341169;8301794;0;
Marzling;8003905;8003905;8085905;MVV
Marzocca;8307109;8300551;8300459;
Marz-Rohrbach;8103276;8100472;0;
Masala;1063462;1000258;0;
Masalskaja;2725391;2700164;2700673;
Mascali;8325401;8301092;0;
Maschen;8003906;8003906;0;HVV
Mas d'Artiges;8763114;8703933;0;
Maselskaja;2033391;2000947;2004693;
Masera;8333375;8302811;0;
Mashkain;2741391;2700152;2709986;
Masivcy;2251826;2201824;0;
Maslenjaca;7873705;0;0;
Masljanskaja;2049391;2000948;2030279;
Maslonskie Natalin;5120906;5102188;0;
Masnuy-Saint-Pier;8881174;0;0;
Masnuy-St.-Pierre;8827953;8800405;0;
Masovice;5459170;5401936;0;
Massa Centro;8306009;8300162;8300353;
Massafra;8311510;8302410;8300637;
Massalombarda;8366689;8301717;0;
Massarosa-Bozzano;8306350;8301762;0;
Massen;8003909;8003909;0;VRR
Masserac;8752945;8701624;0;
Masseret;8744145;8701613;0;
Massiac;8779114;8703935;8700109;
Massing;8003910;8003910;0;VRI
Massongex;8581593;8501420;0;
Massy Palaiseau Gran;8795114;8703937;8700186;
Massy Palaiseau Ratp;8723914;8703938;0;
Massy TGV;8739370;8701607;8700703;
Massy Verrieres;8731914;8703939;0;
Massy Verrieres Ratp;8739914;8703940;0;
Mataj;2773391;2700165;2700773;
Matancsi;2035136;2002477;0;
Mataporquera;7114200;7100445;7114200;
Mataruska Banja;7212101;0;0;
Matasaru;5362479;5312479;0;
Mateias;5381023;5331023;0;
Matejovce nad Hornad;5675170;5601938;0;
Matejovce pri Poprad;5683170;5601939;0;
Matelica;8307301;8300803;0;
Matesevo;6231314;0;0;
Mateszalka;5515495;5500817;5515495;
Matishevo;2049552;2004459;0;
Matjushino;2046592;2003729;0;
Matkaselkya;2037872;2003818;0;
Matlock;7015810;7001571;0;
Matnica;5250600;5200600;0;
Mato de Miranda;9447787;9400394;0;
Matran;8589593;8504029;0;
Matraszoeloes-Has;5511817;0;0;
Matraszölös-Hasznos;5534248;5500824;0;
Matraverebely;5511833;5500825;0;
Matravideki Eroe.;5511734;0;0;
Matravideki Erömü;5550248;5500826;0;
Matrei;8102263;0;0;
Matrei am Brenner;8150107;8100106;8100517;
Matrice-Montagano-S.;8320718;8302580;0;
Matrosovka;2266608;2201106;0;
Mattaincourt;8741299;8705000;0;
Matten;8597593;8507277;0;
Mattersburg;8103275;8100408;0;
Mattersburg Nord;8103270;8102015;0;
Mattighofen;8102047;8100409;0;
Matysy;5128906;5102189;0;
Matzen;8102772;0;0;
Matzenbach;8001727;8001727;0;
Matzenheim;8736945;8701622;0;
Matzenheim Rue Gare/;8767885;8767885;0;
Matzen im Weinvierte;8135270;8101206;0;
Matzing;8003912;8003912;0;
Matzing Abzw., Traun;594403;594403;0;
Matzingen;8534393;8506174;0;
Matzleinsdorfer P;8102848;0;0;
Maubach;8003913;8003913;0;VVS
Maubach Bahnhof, Bac;561511;561511;0;
Maubeuge;8729500;8700249;8700875;
Maubourguet;8755914;8703942;0;
Maubray;8885530;8800579;0;
Mauer(b Heidelberg);8003915;8003915;0;VRN
Mauerkirchen;8102050;8100410;0;
Mauer-Oehling;8101053;0;0;
Mauer-Öhling;8144950;8101228;0;
Maulbronn Stadt;8003918;8003918;0;VPE
Maulbronn West;8003914;8087080;0;VPE
Maulburg;8003920;8003920;0;RVL
Maule;8771914;8703944;0;
Mauleon;8767255;8703945;0;
Mauleon Brossardi;8787914;8703946;0;
Maulevrier;8770026;8770026;0;
Maulusmuhle;8200135;0;0;
Maurecourt;8724714;8703948;0;
Maurer-Center, Tirsc;544885;544885;0;
Mauriac;8764526;8703949;8700558;
Maurois;8780065;8701567;0;
Maurs;8740714;8703950;0;
Mauruciai;2433927;2400201;0;
Mausheim;8003921;8003921;0;
Maussac Gare Pl de l;8748714;8703951;0;
Mautbrücken;8127270;8101205;0;
Mautbruecken;8103805;0;0;
Mautern;8101646;0;0;
Mautern im Liesingta;8120862;8100125;8100600;
Mauthausen;8101523;8100413;0;
Mauthausen OÖ Vormar;8171019;8171019;0;
Mauthaus, Nordhalben;464889;464889;0;
Mauthaus Unterer Par;540032;540032;0;
Mauves-sur-Loire;8744065;8701513;0;
Mauvezin;8756714;8703952;0;
Mauzac;8772714;8703954;0;
Mauze(Niort);8770545;8701646;8700628;
Mauzens Miremont;8780714;8703955;0;
Mave (APT.-CGD.);7164113;7114113;0;
Mavracici;7848534;7800383;0;
Mavrinskij;2042584;2002778;0;
Mavrudovo;5250574;5200574;0;
Maxau;8003917;8084068;0;KVV
Maxdorf(Pfalz);8007573;0;0;592
Maxdorf Süd;508238;508238;0;
Maxdorf Süd;8007575;0;0;592
Max-Emanuel-Kapelle,;591186;591186;0;
Max-Emanuel-Kapelle,;593463;593463;0;
Maxhütte-Haidhof;8003922;8003922;0;
Maximiliansau Eisenb;508244;508244;0;
Maximiliansau Eisenb;8003923;8003923;0;KVV
Maximiliansau-Im Rü;8003911;0;0;KVV
Maximiliansau-Im Rüs;8096942;8003911;0;
Maximiliansau West,;720297;720297;0;
Maximiliansau West;8003919;8084067;0;KVV
Maxonchamp;8793745;8701639;0;
Mayenne;8747859;0;0;
Mayen Neutor;8071184;8071184;0;
Mayen Obertor Tonner;8071677;8071677;0;
Mayen Ost;8003940;8000248;0;
Mayen West;8003924;8003924;0;VRM
Mayet;8727842;8702351;0;
Mayrhofen;4102217;0;0;
Mayrhofen im Zillert;8150541;8100541;0;
Mayrhofen/Zillert;8102217;0;0;
Mayschoß;8003926;8003926;0;VRM
